@RELATION bad_actors 
 @ATTRIBUTE author_guid string 
 @ATTRIBUTE ClaimFeatureGenerator_claim_type {False,True} 
 @ATTRIBUTE NetworkxFeatureGenerator_average_clustering numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_density numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_max_betweenness_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_max_closeness_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_max_communicability_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_max_degree numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_max_eigenvector_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_max_katz_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_max_load_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_median_betweenness_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_median_closeness_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_median_communicability_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_median_degree numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_median_eigenvector_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_median_katz_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_median_load_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_min_betweenness_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_min_closeness_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_min_communicability_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_min_degree numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_min_eigenvector_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_min_katz_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_min_load_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_std_betweenness_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_std_closeness_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_std_communicability_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_std_degree numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_std_eigenvector_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_std_katz_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_std_load_centrality numeric 
  @DATA 
18b51165-1335-3113-b908-605bcd3d790d, False, 0.0, 0.0114130434782609, 0.10377358490566, 0.291379310344828, 476.741631903183, 47, -1, 0.471233675867079, 0.10377358490566, 0.0, 0.0673491379310345, 3.06193710785205, 1.0, -1.0, 0.0598622946173982, 0.0, 0.0, 0.00625, 1.54308063481524, 1, -1, 0.0482621252320725, 0.0, 0.00879263187841304, 0.0575472945701731, 37.4128201935531, 4.12169719820377, 0.0, 0.037415137352885, 0.00879263187841304 
195c1e5a-5c97-3e9a-87a5-8942b423d761, False, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ? 
1af963c9-bce9-32c2-b713-8df2d7a3e968, True, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ? 
1d7a0c41-a89c-31c6-baf8-9f4b37092aca, False, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ? 
1dba17fb-0a9d-3bc8-b17b-cef4e1063234, False, 0.0, 0.0125558995528036, 0.234402230742419, 0.434051997463538, 1695.74848951711, 66, -1, 0.600796862501861, 0.234402230742419, 0.0, 0.158706236958034, 4.02197198685284, 1.0, -1.0, 0.0404162634799506, 0.0, 0.0, 0.00657894736842105, 1.54308063481524, 1, -1, 0.0294947985748368, 0.0, 0.0225054153068343, 0.0790214620779334, 136.134662323236, 5.80664424155885, 0.0, 0.0508660415521447, 0.0225054153068343 
1e86bbd5-0095-32ef-8471-2e7a14915920, False, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ? 
1ea25888-8850-3a60-aeec-cab1b7820e30, False, 0.0, 0.0375510204081633, 0.142006802721088, 0.334879406307978, 27.6524158719459, 16, -1, 0.32713968807903, 0.142006802721088, 0.0, 0.120094191522763, 1.94002806254617, 1.0, -1.0, 0.125038028319967, 0.0, 0.0, 0.0667903525046382, 1.60095331999908, 1, -1, 0.117990294359996, 0.0, 0.0238212374004546, 0.0552048082605705, 3.75664403696699, 2.53266657892428, 0.0, 0.0324960364931077, 0.0238212374004546 
1ecdfc4a-7f4d-3697-87e4-339a61e0531b, False, 0.0, 0.00385607439549348, 0.0253854816354816, 0.0924385924385924, 411.006257110847, 45, -1, 0.279725807852608, 0.0253854816354816, 0.0, 0.0261147863311325, 2.77085688367076, 1.0, -1.0, 0.0370227450230818, 0.0, 0.0, 0.00207900207900208, 1.54308063481524, 1, -1, 0.0308704515432979, 0.0, 0.00171974889966108, 0.0171144890912319, 22.3099555126474, 3.73939275055968, 0.0, 0.0184619128677135, 0.00171974889966108 
1ed4f5a4-ddc4-3a25-81b6-9602ff48fdce, False, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ? 
1ed731ad-3c9f-3e5e-98f3-fc9e0f01d012, False, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ? 
