@RELATION bad_actors 
 @ATTRIBUTE author_guid string 
 @ATTRIBUTE ClaimFeatureGenerator_claim_type numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_friends_followers_ratio numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_num_of_favorites numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_num_of_followers numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_num_of_friends numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_num_of_listed_count numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_num_of_protected numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_num_of_statuses numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_num_of_verified numeric 
 @ATTRIBUTE FootprintFeatureGenerator_max_num_of_favorites numeric 
 @ATTRIBUTE FootprintFeatureGenerator_max_num_of_followers numeric 
 @ATTRIBUTE FootprintFeatureGenerator_max_num_of_friends numeric 
 @ATTRIBUTE FootprintFeatureGenerator_max_num_of_listed_count numeric 
 @ATTRIBUTE FootprintFeatureGenerator_max_num_of_protected numeric 
 @ATTRIBUTE FootprintFeatureGenerator_max_num_of_statuses numeric 
 @ATTRIBUTE FootprintFeatureGenerator_max_num_of_verified numeric 
 @ATTRIBUTE FootprintFeatureGenerator_min_num_of_favorites numeric 
 @ATTRIBUTE FootprintFeatureGenerator_min_num_of_followers numeric 
 @ATTRIBUTE FootprintFeatureGenerator_min_num_of_friends numeric 
 @ATTRIBUTE FootprintFeatureGenerator_min_num_of_listed_count numeric 
 @ATTRIBUTE FootprintFeatureGenerator_min_num_of_protected numeric 
 @ATTRIBUTE FootprintFeatureGenerator_min_num_of_statuses numeric 
 @ATTRIBUTE FootprintFeatureGenerator_min_num_of_verified numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_friends_followers_ratio numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_num_of_favorites numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_num_of_followers numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_num_of_friends numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_num_of_listed_count numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_num_of_protected numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_num_of_statuses numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_num_of_verified numeric 
  @DATA 
12d0c9d9-6958-3c9b-9b8a-b160948697ef, False, 2.21948051750086, 16146, 597, 836, 19, 0, 31107, 700, 87584, 2648, 4932, 98, 0, 105356, 0, 2, 35, 10, 0, 0, 248, 0, 2.08309562815108, 28064.992666463, 716.198856123275, 1298.82960547001, 26.0480144122429, 0.0, 34516.6907132196, 701 
13953077-0683-3d48-817b-2d1474842283, True, 2.85188198193699, 14667, 2457, 778, 64, 0, 24112, 700, 126236, 24726, 5880, 1070, 0, 121666, 1, 0, 1, 4, 0, 0, 40, 0, 10.2355617347072, 26197.9853408781, 4801.32601452029, 1154.12216172362, 171.51628222627, 0.0, 32873.1930088522, 701 
140386ff-09f1-3703-9097-3d4ec90d4ec7, True, 1.59781725208904, 4874, 8150, 1579, 103, 0, 6780, 700, 28930, 111395, 8600, 1087, 0, 20464, 1, 1, 67, 45, 0, 0, 122, 0, 1.5035480483562, 6590.30487838006, 24263.9537176034, 2132.41360903555, 249.113949830193, 0.0, 7144.25705724535, 701 
14613db4-9422-337d-b447-d7f548da4201, False, 1.48853381077119, 15264, 5131, 4738, 35, 0, 14483, 700, 65370, 24227, 19895, 181, 0, 39678, 0, 72, 87, 224, 0, 0, 130, 0, 0.698038264283983, 23643.1871682356, 8673.9550651489, 6998.53205242992, 65.4845189508346, 0.0, 16636.0145642919, 701 
147fe6f8-bd06-3d49-bff6-4a567f80321f, False, 1.13376310947156, 8825, 4557, 1172, 79, 0, 27314, 700, 85449, 29658, 10337, 644, 0, 191630, 1, 5, 17, 1, 0, 0, 72, 0, 1.19120680471423, 16228.1723349897, 8082.2889480465, 2004.91679990819, 148.872871893207, 0.0, 49069.9225963802, 701 
1481b02a-bf76-379f-8ad9-6764ac798b67, False, 2.75125654550609, 10235, 50474, 3866, 455, 0, 57141, 700, 164996, 2593593, 76999, 22431, 0, 771124, 1, 0, 1, 0, 0, 0, 32, 0, 4.54377483891434, 24493.1106684739, 343166.611176839, 12355.565828547, 2969.1140689224, 0.0, 147255.319383697, 701 
1523e4b3-2b9b-3d61-8d1a-037b96c83454, False, 1.64086775175771, 18617, 2629, 1980, 48, 0, 30608, 700, 84009, 19374, 5816, 556, 0, 118750, 1, 32, 21, 35, 0, 0, 1165, 0, 0.90042738744899, 24354.132902972, 5112.27856076332, 2015.70058004714, 146.707130871409, 0.0, 39887.4799546937, 701 
15f046bc-efe4-387e-85bb-ac8e82bdea1d, False, 2.36514910195629, 24935, 1734, 2247, 46, 0, 31802, 700, 146876, 15874, 17188, 364, 0, 211696, 0, 0, 5, 37, 0, 0, 163, 0, 2.27968456763311, 40396.0197592535, 3405.33797551726, 3681.11310441557, 83.7521790761291, 0.0, 46654.4915697031, 701 
1683d4db-bf9c-3ff6-9711-a808e84b3808, False, 2.00979232063005, 19844, 2440, 2851, 32, 0, 31925, 700, 127443, 36655, 39408, 585, 0, 208481, 0, 5, 1, 1, 0, 0, 27, 0, 1.70226283935191, 29102.4995662242, 5554.93015906171, 5884.69410021126, 93.1327777193094, 0.0, 45999.8875202706, 701 
171d702c-6cdd-3718-b939-30985ea5f520, False, 2.43888437144253, 1868, 3669, 825, 15, 0, 17837, 700, 20376, 49958, 3936, 142, 0, 101897, 1, 0, 15, 2, 0, 0, 181, 0, 2.41081948862774, 4750.71300853947, 11361.6240238743, 957.130697887967, 32.8507661935939, 0.0, 28019.8304251198, 701 
18b51165-1335-3113-b908-605bcd3d790d, False, 1.24451277425744, 10300, 7712, 961, 104, 0, 21917, 700, 42744, 102719, 4040, 1518, 0, 116460, 1, 7, 54, 42, 1, 0, 549, 0, 1.47184565411616, 12016.740196133, 23416.2302343012, 1258.88077373083, 343.673492047034, 0.0, 31709.7689981113, 701 
195c1e5a-5c97-3e9a-87a5-8942b423d761, False, 2.44727418927106, 18016, 1173, 1136, 20, 0, 15033, 700, 151014, 10091, 4663, 187, 0, 71123, 0, 10, 6, 23, 0, 0, 12, 0, 2.05695316329969, 33112.774621398, 2207.16613500208, 1328.55113845873, 43.038674468436, 0.0, 19378.8444131094, 701 
1af963c9-bce9-32c2-b713-8df2d7a3e968, True, 2.77878814334178, 16637, 29756, 1483, 39, 0, 21047, 700, 90949, 513902, 8239, 496, 0, 104678, 1, 239, 11, 129, 0, 0, 423, 0, 3.10014494394351, 20146.7504342941, 117443.060046673, 1962.75614747335, 112.933608815091, 0.0, 25666.1389436489, 701 
1d7a0c41-a89c-31c6-baf8-9f4b37092aca, False, 3.61501608032865, 5362, 611, 596, 7, 0, 6025, 700, 35024, 5739, 4148, 68, 0, 30215, 0, 0, 1, 0, 0, 0, 28, 0, 5.41166594631617, 10952.4302581462, 1321.87320499475, 953.039252693464, 15.9550962689953, 0.0, 8601.98014760751, 701 
1dba17fb-0a9d-3bc8-b17b-cef4e1063234, False, 1.8227455804264, 12730, 4063, 704, 62, 0, 37067, 700, 102197, 84846, 5306, 1167, 0, 278832, 1, 0, 0, 4, 0, 0, 33, 0, 2.7680327822237, 23180.2935863698, 13058.6394867174, 1001.92202167377, 188.673329980413, 0.0, 51841.2552305384, 701 
1e86bbd5-0095-32ef-8471-2e7a14915920, False, 1.6144165710529, 10477, 19038, 1095, 394, 0, 19144, 700, 101001, 217487, 4248, 4643, 0, 68722, 1, 0, 10, 4, 0, 0, 622, 0, 1.46700410214495, 27539.2416969505, 59843.7030791229, 1328.67615818654, 1280.93527841964, 0.0, 21732.7226644459, 701 
1ea25888-8850-3a60-aeec-cab1b7820e30, False, 3.15775882758224, 8319, 11067, 1365, 220, 0, 20258, 700, 87934, 217487, 7140, 4643, 0, 142276, 1, 0, 3, 12, 0, 0, 4, 0, 12.7390026219553, 19659.0326450937, 35880.0624709169, 1922.16738835008, 743.087452398005, 0.0, 31099.468395767, 701 
