topic_number,buckets,authors,posts,post_author_ratio
33,0.7,1,1,1.0
33,0.8,0,0,-1.0
33,0.9,0,0,-1.0
33,1.0,0,0,-1.0
34,0.1,30,32,1.0666666666666667
34,0.2,19,20,1.0526315789473684
34,0.3,19,20,1.0526315789473684
34,0.4,9,10,1.1111111111111112
34,0.5,5,5,1.0
34,0.6,3,5,1.6666666666666667
34,0.7,3,3,1.0
34,0.8,0,0,-1.0
34,0.9,0,0,-1.0
34,1.0,0,0,-1.0
35,0.1,12,12,1.0
35,0.2,12,14,1.1666666666666667
35,0.3,5,5,1.0
35,0.4,13,14,1.0769230769230769
35,0.5,4,6,1.5
35,0.6,4,4,1.0
35,0.7,1,1,1.0
35,0.8,0,0,-1.0
35,0.9,0,0,-1.0
35,1.0,0,0,-1.0
36,0.1,20,20,1.0
36,0.2,12,13,1.0833333333333333
36,0.3,11,13,1.1818181818181819
36,0.4,4,6,1.5
36,0.5,2,2,1.0
36,0.6,2,5,2.5
36,0.7,0,0,-1.0
36,0.8,0,0,-1.0
36,0.9,0,0,-1.0
36,1.0,0,0,-1.0
37,0.1,14,14,1.0
37,0.2,9,10,1.1111111111111112
37,0.3,5,6,1.2
37,0.4,2,2,1.0
37,0.5,1,1,1.0
37,0.6,2,2,1.0
37,0.7,2,2,1.0
37,0.8,2,2,1.0
37,0.9,1,1,1.0
37,1.0,0,0,-1.0
38,0.1,14,16,1.1428571428571428
38,0.2,13,13,1.0
38,0.3,10,10,1.0
38,0.4,7,7,1.0
38,0.5,6,7,1.1666666666666667
38,0.6,2,2,1.0
38,0.7,1,1,1.0
38,0.8,1,1,1.0
38,0.9,0,0,-1.0
38,1.0,0,0,-1.0
39,0.1,5,5,1.0
39,0.2,1,1,1.0
39,0.3,2,2,1.0
39,0.4,4,4,1.0
39,0.5,1,1,1.0
39,0.6,1,1,1.0
39,0.7,0,0,-1.0
39,0.8,0,0,-1.0
39,0.9,0,0,-1.0
39,1.0,0,0,-1.0
40,0.1,15,15,1.0
40,0.2,5,5,1.0
40,0.3,4,4,1.0
40,0.4,4,4,1.0
40,0.5,2,2,1.0
40,0.6,0,0,-1.0
40,0.7,0,0,-1.0
40,0.8,0,0,-1.0
40,0.9,0,0,-1.0
40,1.0,0,0,-1.0
41,0.1,12,12,1.0
41,0.2,5,5,1.0
41,0.3,7,7,1.0
41,0.4,9,9,1.0
41,0.5,5,5,1.0
41,0.6,1,1,1.0
41,0.7,1,1,1.0
41,0.8,0,0,-1.0
41,0.9,0,0,-1.0
41,1.0,0,0,-1.0
42,0.1,14,14,1.0
42,0.2,7,7,1.0
42,0.3,8,8,1.0
42,0.4,4,5,1.25
42,0.5,1,1,1.0
42,0.6,4,4,1.0
42,0.7,0,0,-1.0
42,0.8,0,0,-1.0
42,0.9,0,0,-1.0
42,1.0,0,0,-1.0
43,0.1,2,2,1.0
43,0.2,4,4,1.0
43,0.3,2,2,1.0
43,0.4,2,2,1.0
43,0.5,1,1,1.0
43,0.6,2,12,6.0
43,0.7,0,0,-1.0
43,0.8,2,2,1.0
43,0.9,0,0,-1.0
43,1.0,0,0,-1.0
44,0.1,1,1,1.0
44,0.2,4,4,1.0
44,0.3,7,7,1.0
44,0.4,6,6,1.0
44,0.5,1,1,1.0
44,0.6,1,1,1.0
44,0.7,0,0,-1.0
44,0.8,0,0,-1.0
44,0.9,0,0,-1.0
44,1.0,0,0,-1.0
45,0.1,6,6,1.0
45,0.2,4,4,1.0
45,0.3,0,0,-1.0
45,0.4,1,1,1.0
45,0.5,3,4,1.3333333333333333
45,0.6,3,3,1.0
45,0.7,3,3,1.0
45,0.8,2,2,1.0
45,0.9,0,0,-1.0
45,1.0,0,0,-1.0
46,0.1,12,12,1.0
46,0.2,11,11,1.0
46,0.3,4,4,1.0
46,0.4,7,7,1.0
46,0.5,4,4,1.0
46,0.6,1,1,1.0
46,0.7,1,1,1.0
46,0.8,0,0,-1.0
46,0.9,0,0,-1.0
46,1.0,0,0,-1.0
47,0.1,8,8,1.0
47,0.2,5,5,1.0
47,0.3,4,5,1.25
47,0.4,0,0,-1.0
47,0.5,1,1,1.0
47,0.6,1,1,1.0
47,0.7,2,6,3.0
47,0.8,1,4,4.0
47,0.9,0,0,-1.0
47,1.0,0,0,-1.0
48,0.1,4,6,1.5
48,0.2,1,1,1.0
48,0.3,4,4,1.0
48,0.4,1,1,1.0
48,0.5,0,0,-1.0
48,0.6,2,5,2.5
48,0.7,1,1,1.0
48,0.8,0,0,-1.0
48,0.9,0,0,-1.0
48,1.0,0,0,-1.0
49,0.1,6,6,1.0
49,0.2,5,5,1.0
49,0.3,0,0,-1.0
49,0.4,3,4,1.3333333333333333
49,0.5,1,1,1.0
